"Honorific.Title","First.Name","Last.Name","Constituency","Province...Territory","Political.Affiliation","Start.Date","End.Date","DirectWebPage","MP_at","Rols","Email","Website","HillOfficeAddressInfo","HillOfficePhoneFaxInfo","MainOfficeAddressInfo","MainOfficePhoneFaxInfo"
"","Serge","Cormier","Acadie—Bathurst","New Brunswick","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/serge-cormier(88350)","Acadie—Bathurst, New Brunswick
","
                CACNSpecial Committee on the Canada–People’s Republic of China Relationship
            
            
                FOPOStanding Committee on Fisheries and Oceans
            
    ","serge.cormier@parl.gc.ca","http://sergecormier.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2165
                    Fax: 613-992-4558
                ","
                    Main office -  Caraquet 
                    220 St-Pierre Blvd West 
Suite 314 
                    Caraquet, New Brunswick 
                    E1W 1A5 ","
                    Telephone:  1-800-992-5699 
Fax:  506-726-5394 "
"","Michael","Coteau","Don Valley East","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/michael-coteau(110373)","Don Valley East, Ontario
","
                CHPCStanding Committee on Canadian Heritage
            
            
                SCHPSubcommittee on Agenda and Procedure of the Standing Committee on Canadian Heritage
            
            
                HUMAStanding Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities
            
    ","michael.coteau@parl.gc.ca","http://michaelcoteau.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0919
                    Fax: 613-992-0945
                ","
                    Main office -  North York 
                    300-1200 Lawrence Ave E 
                    North York, Ontario 
                    M3A 1C1 ","
                    Telephone:  416-443-0343 
Fax:  416-443-1393 "
"","Julie","Dabrusin","Toronto—Danforth","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/julie-dabrusin(88994)","Toronto—Danforth, Ontario
","Parliamentary Secretary to the Minister of Environment and Climate Change and to the Minister of Energy and Natural Resources
","julie.dabrusin@parl.gc.ca","http://juliedabrusin.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-9381
                    Fax: 613-992-9389
                ","
                    Main office -  Toronto 
                    1028 Queen Street East 
                    Toronto, Ontario 
                    M4M 1K4 ","
                    Telephone:  416-405-8914 
Fax:  416-405-8916 "
"","Marc","Dalton","Pitt Meadows—Maple Ridge","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/marc-dalton(35909)","Pitt Meadows—Maple Ridge, British Columbia
","
                LANGStanding Committee on Official Languages
            
    ","Marc.Dalton@parl.gc.ca","http://www.marcdaltonmp.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-4613
                    Fax: 613-947-4615
                ","
                    Main office -  Maple Ridge 
                    22369 Lougheed Hwy 
                    Maple Ridge, British Columbia 
                    V2X 2T3 ","
                    Telephone:  604-466-2761 
Fax:  604-466-7593 "
"","Pam","Damoff","Oakville North—Burlington","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/pam-damoff(88884)","Oakville North—Burlington, Ontario
","Parliamentary Secretary to the Minister of Foreign Affairs (Consular Affairs)
","pam.damoff@parl.gc.ca","http://pamdamoff.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-1338
                    Fax: 613-992-1344
                ","
                    Main office -  Oakville 
                    2525 Old Bronte Road 
Suite 590 
                    Oakville, Ontario 
                    L6M 4J2 ","
                    Telephone:  905-847-4043 
Fax:  905-847-3037 "
"","Raquel","Dancho","Kildonan—St. Paul","Manitoba","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/raquel-dancho(105521)","Kildonan—St. Paul, Manitoba
","Parliamentary Secretary to the Minister of Foreign Affairs (Consular Affairs)
","Raquel.Dancho@parl.gc.ca","http://mpraqueldancho.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7148
                    Fax: 613-996-9125
                ","
                    Main office -  Winnipeg 
                    27 Red River Boulevard West 
Unit B 
                    Winnipeg, Manitoba 
                    R2V 4E2 ","
                    Telephone:  204-984-6322 
Fax:  204-984-6415 "
"","Scot","Davidson","York—Simcoe","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/scot-davidson(102653)","York—Simcoe, Ontario
","
                REGSStanding Joint Committee for the Scrutiny of Regulations
            
    ","Scot.Davidson@parl.gc.ca","http://www.scotdavidson.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-7752
                    Fax: 613-992-8351
                ","
                    Main office -  Holland Landing 
                    45 Grist Mill Road 
Suite 10 
                    Holland Landing, Ontario 
                    L9N 1M7 ","
                    Telephone:  905-898-1600 
Fax:  905-898-4600 "
"","Don","Davies","Vancouver Kingsway","British Columbia","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/don-davies(59325)","Vancouver Kingsway, British Columbia
","Member of the National Security and Intelligence Committee of Parliamentarians
","don.davies@parl.gc.ca","http://www.dondavies.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-943-0267
                    Fax: 613-943-0219
                ","
                    Main office -  Vancouver 
                    2951 Kingsway
 
                    Vancouver, British Columbia 
                    V5R 5J4 ","
                    Telephone:  604-775-6263 
Fax:  604-775-6284 "
"","Claude","DeBellefeuille","Salaberry—Suroît","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/claude-debellefeuille(35315)","Salaberry—Suroît, Quebec
","Whip of the Bloc Québécois
            Member of the Board of Internal Economy
","Claude.DeBellefeuille@parl.gc.ca","http://www.claudedebellefeuille.quebec","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-2532
                    Fax: 613-941-3300
                ","
                    Main office -  Salaberry-de-Valleyfield 
                    106 Saint-Jean-Baptiste Street 
                    Salaberry-de-Valleyfield, Quebec 
                    J6T 1Z8 ","
                    Telephone:  450-371-0644 
Fax:  450-371-3330 "
"","Gérard","Deltell","Louis-Saint-Laurent","Quebec","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/gerard-deltell(88535)","Louis-Saint-Laurent, Quebec
","
                ENVIStanding Committee on Environment and Sustainable Development
            
    ","gerard.deltell@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-4151
                    Fax: 613-954-2269
                ","
                    Main office -  Québec 
                    9030 de L'Ormière Blvd. 
Suite 200 
                    Québec, Quebec 
                    G2B 3K3 ","
                    Telephone:  418-842-5552 
Fax:  418-842-7333 "
"","Chris","d'Entremont","West Nova","Nova Scotia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/chris-dentremont(49344)","West Nova, Nova Scotia
","Co-Chair of the Joint Interparliamentary Council
                        Deputy Speaker and Chair of Committees of the Whole
","Chris.dEntremont@parl.gc.ca","http://chrisdentremont.ca/en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-5711
                    Fax: 613-996-9857
                ","
                    Main office -  Yarmouth 
                    368 Main Street 
Suite 223 
                    Yarmouth, Nova Scotia 
                    B5A 1E9 ","
                    Telephone:  902-742-6808 
Toll Free Number: 1-866-280-5302 "
"","Caroline","Desbiens","Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/caroline-desbiens(104715)","Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix, Quebec
","
                FOPOStanding Committee on Fisheries and Oceans
            
    ","Caroline.Desbiens@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9732
                    Fax: 613-996-2656
                ","
                    Main office -  Ste-Anne-de-Beaupré 
                    9749 Sainte-Anne Blvd. 
Suite 160 
                    Ste-Anne-de-Beaupré, Quebec 
                    G0A 3C0 ","
                    Telephone:  418-827-6776 
Fax:  418-827-7077 "
"","Luc","Desilets","Rivière-des-Mille-Îles","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/luc-desilets(104922)","Rivière-des-Mille-Îles, Quebec
","
                ACVAStanding Committee on Veterans Affairs
            
    ","Luc.Desilets@parl.gc.ca","http://lucdesilets.quebec","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7330
                    Fax: 613-992-2602
                ","
                    Main office -  St-Eustache 
                    45 Grignon Street 
                    St-Eustache, Quebec 
                    J7P 4X2 ","
                    Telephone:  450-623-3335 
Fax:  450-623-3103 "
"","Blake","Desjarlais","Edmonton Griesbach","Alberta","NDP","2021-09-20 12:00:00 AM",NA,"/members/en/blake-desjarlais(110889)","Edmonton Griesbach, Alberta
","
                PACPStanding Committee on Public Accounts
            
            
                SPACSubcommittee on Agenda and Procedure of the Standing Committee on Public Accounts
            
    ","blake.desjarlais@parl.gc.ca","http://blakedesjarlais.ndp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3821
                    Fax: 613-992-6898
                ","
                    Main office -  Edmonton 
                    10212 - 127th Avenue NW 
Suite 102 
                    Edmonton, Alberta 
                    T5E 0B8 ","
                    Telephone:  780-495-3261 
Fax:  780-495-5142 "
"","Sukh","Dhaliwal","Surrey—Newton","British Columbia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/sukh-dhaliwal(31098)","Surrey—Newton, British Columbia
","
                CIMMStanding Committee on Citizenship and Immigration
            
            
                SCIMSubcommittee on Agenda and Procedure of the Standing Committee on Citizenship and Immigration
            
    ","sukh.dhaliwal@parl.gc.ca","http://sukhdhaliwal.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0666
                    Fax: 613-992-1965
                ","
                    Main office -  Surrey 
                    12992 - 76th Avenue 
Unit 202 
                    Surrey, British Columbia 
                    V3W 2V6 ","
                    Telephone:  604-598-2200 
Fax:  604-598-2212 "
"","Anju","Dhillon","Dorval—Lachine—LaSalle","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/anju-dhillon(88453)","Dorval—Lachine—LaSalle, Quebec
","
                CHPCStanding Committee on Canadian Heritage
            
            
                JUSTStanding Committee on Justice and Human Rights
            
    ","anju.dhillon@parl.gc.ca","http://anjudhillon.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-2251
                    Fax: 613-996-1481
                ","
                    Main office -  Lachine 
                    735 Notre-Dame Street 
                    Lachine, Quebec 
                    H8S 2B5 ","
                    Telephone:  514-639-4497 
Fax:  514-639-7407 "
"","Lena Metlege","Diab","Halifax West","Nova Scotia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/lena-metlege-diab(109915)","Halifax West, Nova Scotia
","
                JUSTStanding Committee on Justice and Human Rights
            
            
                SJUSSubcommittee on Agenda and Procedure of the Standing Committee on Justice and Human Rights
            
    ","lenametlege.diab@parl.gc.ca","http://lenametlegediab.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-3085
                    Fax: 613-996-6988
                ","
                    Main office -  Halifax 
                    401-3845 Joseph Howe Dr 
                    Halifax, Nova Scotia 
                    B3L 4H9 ","
                    Telephone:  902-426-2217 
Fax:  902-426-8339 "
"","Todd","Doherty","Cariboo—Prince George","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/todd-doherty(89249)","Cariboo—Prince George, British Columbia
","
                HESAStanding Committee on Health
            
    ","todd.doherty@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6704
                    Fax: 613-996-9850
                ","
                    Main office -  Prince George 
                    1520 - 3rd Avenue 
                    Prince George, British Columbia 
                    V2L 3G4 ","
                    Telephone:  250-564-7771 
Fax:  250-564-6224 "
"","Han","Dong","Don Valley North","Ontario","Independent","2021-09-20 12:00:00 AM",NA,"/members/en/han-dong(105091)","Don Valley North, Ontario
","Member of the panel of chairs for the legislative committees
","Han.Dong@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-4988
                    Fax: 613-995-1686
                ","
                    Main office -  Toronto 
                    250 Consumers Road 
Suite 1000 
                    Toronto, Ontario 
                    M2J 4V6 ","
                    Telephone:  416-443-0623 
Fax:  416-443-9819 "
"","Terry","Dowdall","Simcoe—Grey","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/terry-dowdall(105410)","Simcoe—Grey, Ontario
","
                ACVAStanding Committee on Veterans Affairs
            
    ","Terry.Dowdall@parl.gc.ca","http://terrydowdallmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4224
                    Fax: 613-992-2164
                ","
                    Main office -  Alliston 
                    452 Victoria Street East 
                    Alliston, Ontario 
                    L9R 1J8 ","
                    Telephone:  705-435-1809 
Fax:  705-435-6448 "
"","Earl","Dreeshen","Red Deer—Mountain View","Alberta","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/earl-dreeshen(59226)","Red Deer—Mountain View, Alberta
","
                RNNRStanding Committee on Natural Resources
            
    ","earl.dreeshen@parl.gc.ca","http://www.earldreeshen.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-0590
                    Fax: 613-995-6831
                ","
                    Main office -  Red Deer 
                    4315 - 55th Avenue 
                    Red Deer, Alberta 
                    T4N 4N7 ","
                    Telephone:  403-347-7426 
Fax:  403-347-7423 "
"","Francis","Drouin","Glengarry—Prescott—Russell","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/francis-drouin(88756)","Glengarry—Prescott—Russell, Ontario
","Parliamentary Secretary to the Minister of Agriculture and Agri-Food
                        Member of the Joint Interparliamentary Council
","francis.drouin@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-0490
                    Fax: 613-996-9123
                ","
                    Main office -  Rockland 
                    1468 Laurier Street 
Suite 201 
                    Rockland, Ontario 
                    K4K 1C8 ","
                    Telephone:  613-446-6310 
Fax:  613-446-5666 "
"","Emmanuel","Dubourg","Bourassa","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/emmanuel-dubourg(84660)","Bourassa, Quebec
","
                ACVAStanding Committee on Veterans Affairs
            
            
                SACVSubcommittee on Agenda and Procedure of the Standing Committee on Veterans Affairs
            
    ","emmanuel.dubourg@parl.gc.ca","http://emmanueldubourg.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6108
                    Fax: 613-995-9755
                ","
                    Main office -  Montreal-Nord 
                    5835 Leger Blvd 
Suite 203 
                    Montreal-Nord, Quebec 
                    H1G 6E1 ","
                    Telephone:  514-323-1212 
Fax:  514-323-2875 "
"Hon.","Jean-Yves","Duclos","Québec","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/jean-yves-duclos(89408)","Québec, Quebec
","Minister of Public Services and Procurement
","jean-yves.duclos@parl.gc.ca","http://jeanyvesduclos.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-8865
                    Fax: 613-995-2805
                ","
                    Main office -  Québec 
                    600 Charest Blvd East, PO Box 30014 
Suite 201 
                    Québec, Quebec 
                    G1K 3J4 ","
                    Telephone:  418-523-6666 
Fax:  418-523-6672 "
"","Terry","Duguid","Winnipeg South","Manitoba","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/terry-duguid(31119)","Winnipeg South, Manitoba
","Parliamentary Secretary to the Prime Minister and Special Advisor for Water
","terry.duguid@parl.gc.ca","http://terryduguid.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7517
                    Fax: 613-943-1466
                ","
                    Main office -  Winnipeg 
                    80-2855 Pembina Hwy 
                    Winnipeg, Manitoba 
                    R3T 2H5 ","
                    Telephone:  204-984-6787 
Fax:  204-984-6792 "
"","Eric","Duncan","Stormont—Dundas—South Glengarry","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/eric-duncan(105422)","Stormont—Dundas—South Glengarry, Ontario
","
                PROCStanding Committee on Procedure and House Affairs
            
    ","Eric.Duncan@parl.gc.ca","http://ericduncanmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2521
                    Fax: 613-996-2119
                ","
                    Main office -  Cornwall 
                    691 Brookdale Avenue 
Unit C 
                    Cornwall, Ontario 
                    K6J 5C6 ","
                    Telephone:  613-937-3331 
Fax:  613-937-3251 "
"Hon.","Kirsty","Duncan","Etobicoke North","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/kirsty-duncan(58877)","Etobicoke North, Ontario
","
                PROCStanding Committee on Procedure and House Affairs
            
    ","kirsty.duncan@parl.gc.ca","http://kirstyduncan.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-4702
                    Fax: 613-995-8359
                ","
                    Main office -  Etobicoke 
                    815 Albion Rd 
                    Etobicoke, Ontario 
                    M9V 1A3 ","
                    Telephone:  416-747-6003 
Fax:  416-747-8295 "
"","Julie","Dzerowicz","Davenport","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/julie-dzerowicz(88721)","Davenport, Ontario
","
                FINAStanding Committee on Finance
            
    ","julie.dzerowicz@parl.gc.ca","http://juliedzerowicz.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2576
                    Fax: 613-995-8202
                ","
                    Main office -  Toronto 
                    1202 Bloor Street West 
                    Toronto, Ontario 
                    M6H 1N2 ","
                    Telephone:  416-654-8048 
Fax:  416-654-5083 "
"","Ali","Ehsassi","Willowdale","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/ali-ehsassi(89010)","Willowdale, Ontario
","
                FAAEStanding Committee on Foreign Affairs and International Development
            
            
                SFAASubcommittee on Agenda and Procedure of the Standing Committee on Foreign Affairs and International Development
            
    ","ali.ehsassi@parl.gc.ca","http://aliehsassi.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4964
                    Fax: 613-992-1158
                ","
                    Main office -  Toronto 
                    115 Sheppard Avenue West 
                    Toronto, Ontario 
                    M2N 1M7 ","
                    Telephone:  416-223-2858 
Fax:  416-223-9715 "
"","Fayçal","El-Khoury","Laval—Les Îles","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/faycal-el-khoury(88515)","Laval—Les Îles, Quebec
","Member of the panel of chairs for the legislative committees
","faycal.el-khoury@parl.gc.ca","http://faycalelkhoury.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2659
                    Fax: 613-992-9469
                ","
                    Main office -  Laval 
                    674 Place Publique 
Suite 200 
                    Laval, Quebec 
                    H7X 1G1 ","
                    Telephone:  450-689-4594 
Fax:  450-689-5092 "
"","Stephen","Ellis","Cumberland—Colchester","Nova Scotia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/stephen-ellis(109905)","Cumberland—Colchester, Nova Scotia
","
                HESAStanding Committee on Health
            
    ","stephen.ellis@parl.gc.ca","http://drstephenellismp.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3366
                    Fax: 613-992-7220
                ","
                     Amherst 
                    35 Church Street 
                    Amherst, Nova Scotia 
                    B4H 3A5 ","
                    Telephone:  902-667-8679 
Fax:  902-667-0742 "
"","Dave","Epp","Chatham-Kent—Leamington","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/dave-epp(105082)","Chatham-Kent—Leamington, Ontario
","
                FAAEStanding Committee on Foreign Affairs and International Development
            
    ","Dave.Epp@parl.gc.ca","http://www.daveeppmp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2612
                    Fax: 613-992-1852
                ","
                    Main office -  Leamington 
                    75 Erie Street South 
Unit 100 
                    Leamington, Ontario 
                    N8H 3B2 ","
                    Telephone:  519-326-9655 
Fax:  519-326-2042 "
"","Nathaniel","Erskine-Smith","Beaches—East York","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/nathaniel-erskine-smith(88687)","Beaches—East York, Ontario
","
                FAAEStanding Committee on Foreign Affairs and International Development
            
    ","nathaniel.erskine-smith@parl.gc.ca","http://beynate.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-2115
                    Fax: 613-996-7942
                ","
                    Main office -  Toronto 
                    1902 Danforth Avenue 
                    Toronto, Ontario 
                    M4C 1J4 ","
                    Telephone:  416-467-0860 
Fax:  416-467-0905 "
"","Rosemarie","Falk","Battlefords—Lloydminster","Saskatchewan","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/rosemarie-falk(98749)","Battlefords—Lloydminster, Saskatchewan
","
                HUMAStanding Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities
            
    ","Rosemarie.Falk@parl.gc.ca","http://www.rosemariefalk.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7080
                    Fax: 613-996-8472
                ","
                    Main office -  Lloydminster 
                    4304 - 40th Avenue 
Suite 3 
                    Lloydminster, Saskatchewan 
                    S9V 2H1 ","
                    Telephone:  306-825-5005 "
"","Ted","Falk","Provencher","Manitoba","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/ted-falk(84672)","Provencher, Manitoba
","
                RNNRStanding Committee on Natural Resources
            
    ","ted.falk@parl.gc.ca","http://tedfalk.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3128
                    Fax: 613-995-1049
                ","
                    Main office -  Steinbach 
                    9A-90 Brandt Street 
                    Steinbach, Manitoba 
                    R5G 0T3 ","
                    Telephone:  204-326-9889 
Fax:  204-346-9874 "
"Hon.","Ed","Fast","Abbotsford","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/ed-fast(35904)","Abbotsford, British Columbia
","
                AMADSpecial Joint Committee on Medical Assistance in Dying
            
    ","ed.fast@parl.gc.ca","http://www.edfast.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-0183
                    Fax: 613-996-9795
                ","
                    Main office -  Abbotsford 
                    2825 Clearbrook Road
 
Suite 205 
                    Abbotsford, British Columbia 
                    V2T 6S3 ","
                    Telephone:  604-557-7888 
Fax:  604-557-9918 "
"Hon.","Greg","Fergus","Hull—Aylmer","Quebec","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/greg-fergus(88478)","Hull—Aylmer, Quebec
","Chair of the Board of Internal Economy
                        Speaker
","Greg.Fergus@parl.gc.ca","http://gregfergus.libparl.ca/?lang=en","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-7550
                    Fax: 613-992-7599
                ","
                    Main office -  Gatineau 
                    179 du Portage Promenade 
Suite 301 
                    Gatineau, Quebec 
                    J8X 2K5 ","
                    Telephone:  819-994-8844 
Fax:  819-994-8557 "
"","Michelle","Ferreri","Peterborough—Kawartha","Ontario","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/michelle-ferreri(110604)","Peterborough—Kawartha, Ontario
","
                HUMAStanding Committee on Human Resources, Skills and Social Development and the Status of Persons with Disabilities
            
            
                FEWOStanding Committee on the Status of Women
            
    ","michelle.ferreri@parl.gc.ca","http://michelleferrerimp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-6411
                    Fax: 613-996-9800
                ","
                    Main office -  Peterborough 
                    417 Bethune Street 
Suite 4 
                    Peterborough, Ontario 
                    K9H 3Z1 ","
                    Telephone:  705-745-2108 
Fax:  705-741-4123 "
"","Andy","Fillmore","Halifax","Nova Scotia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/andy-fillmore(88325)","Halifax, Nova Scotia
","
                NDDNStanding Committee on National Defence
            
    ","andy.fillmore@parl.gc.ca","http://www.andyfillmoremp.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-7614
                    Fax: 613-992-8569
                ","
                    Main office -  Halifax 
                    1888 Brunswick Street 
Suite 808 
                    Halifax, Nova Scotia 
                    B3J 3J8 ","
                    Telephone:  902-426-8691 
Fax:  902-426-8693 "
"Hon.","Kerry-Lynne","Findlay","South Surrey—White Rock","British Columbia","Conservative","2021-09-20 12:00:00 AM",NA,"/members/en/kerry-lynne-d-findlay(20878)","South Surrey—White Rock, British Columbia
","Member of the Board of Internal Economy
                        Chief opposition whip
                        Member of the panel of chairs for the legislative committees
","kerry-lynne.findlay@parl.gc.ca","http://klfindlay.com","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-947-4497
                    Fax: 613-947-4500
                ","
                    Main office -  Surrey 
                    1959 152 Street 
Suite 135 
                    Surrey, British Columbia 
                    V4A 9E3 ","
                    Telephone:  604-542-9495 
Fax:  604-542-9496 "
"","Darren","Fisher","Dartmouth—Cole Harbour","Nova Scotia","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/darren-fisher(88323)","Dartmouth—Cole Harbour, Nova Scotia
","Parliamentary Secretary to the Minister of Mental Health and Addictions and Associate Minister of Health
","darren.fisher@parl.gc.ca","http://darrenfisher.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-995-9378
                    Fax: 613-995-9379
                ","
                    Main office -  Dartmouth 
                    82 Tacoma Drive 
Suite 200 
                    Dartmouth, Nova Scotia 
                    B2W 3E5 ","
                    Telephone:  902-462-6453 
Fax:  902-462-6493 "
"","Peter","Fonseca","Mississauga East—Cooksville","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/peter-fonseca(71692)","Mississauga East—Cooksville, Ontario
","
                FINAStanding Committee on Finance
            
            
                SFINSubcommittee on Agenda and Procedure of the Standing Committee on Finance
            
    ","peter.fonseca@parl.gc.ca","http://peterfonseca.libparl.ca","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-996-0420
                    Fax: 613-996-0279
                ","
                    Main office -  Mississauga 
                    980 Burnhamthorpe Road 
Suite 3 
                    Mississauga, Ontario 
                    L4Y 2X6 ","
                    Telephone:  905-566-0009 
Fax:  905-566-0017 "
"Hon.","Mona","Fortier","Ottawa—Vanier","Ontario","Liberal","2021-09-20 12:00:00 AM",NA,"/members/en/mona-fortier(96356)","Ottawa—Vanier, Ontario
","
                ETHIStanding Committee on Access to Information, Privacy and Ethics
            
    ","mona.fortier@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-4766
                    Fax: 613-992-6448
                ","
                    Main office -  Vanier 
                    233 Montreal Road 
                    Vanier, Ontario 
                    K1L 6C7 ","
                    Telephone:  613-998-1860 
Fax:  613-947-7963 "
"","Rhéal Éloi","Fortin","Rivière-du-Nord","Quebec","Bloc Québécois","2021-09-20 12:00:00 AM",NA,"/members/en/rheal-eloi-fortin(88605)","Rivière-du-Nord, Quebec
","
                DEDCSpecial Joint Committee on the Declaration of Emergency
            
    ","rheal.fortin@parl.gc.ca"," ","House of Commons *Ottawa, Ontario,CanadaK1A 0A6","
                    Telephone: 613-992-3257
                    Fax: 613-992-2156
                ","
                    Main office -  Saint-Jérôme 
                    72 de la Gare Street 
Suite 203 
                    Saint-Jérôme, Quebec 
                    J7Z 2B8 ","
                    Telephone:  450-565-0061 
Fax:  450-565-0118 "
